name,address,house_type,price,price_per_area,area,valid_area,property_year,house_direction,hold_year,payandtax,house_used,sell_time,latest_trade,elevator,building_structure,buildtime,trade_property,supply_heating,fitment,floor,building_type,household_num
华山路,"市南,大学路",1室1厅1厨1卫,205,5.6011,36.6平米,暂无数据,70年,南,满五年,"首付62万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-09-27,1980-01-01,暂无数据,砖混结构,1980年建/板楼,商品房,集中供暖,其他,中楼层 (共5层),板楼,一梯三户
海信天玺,"崂山,麦岛",4室2厅1厨2卫,1280,5.5754,229.58平米,177.94㎡,50年,南 北,满两年,"首付384万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-07-29,2015-02-17,有,钢混结构,2012年建/板楼,商品房,集中供暖,精装,中楼层 (共43层),板楼,三梯三户
樱之御园（荣美御园二期）,"崂山,雕塑园",7室3厅2厨3卫,1085,5.5043,197.12平米,170.33㎡,70年,南 北,满五年,"首付326万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-08-29,2010-06-18,有,钢混结构,2005年建/板楼,商品房,集中供暖,精装,高楼层 (共8层),板楼,一梯一户
海信燕岛国际公寓,"市南,奥帆中心",3室2厅1厨3卫,1260,5.4783,230平米,191㎡,70年,东南 西南,满两年,"首付378万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-07-25,2015-03-05,有,钢混结构,2006年建/塔楼,商品房,集中供暖,精装,高楼层 (共29层),塔楼,两梯四户
金海湾,"崂山,雕塑园",3室2厅1厨2卫,830,5.4764,151.56平米,140㎡,50年,南,满五年,"首付249万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-10-21,2002-07-26,暂无数据,砖混结构,1998年建/板楼,商品房,集中供暖,精装,低楼层 (共4层),板楼,一梯两户
华山路,"市南,大学路",1室0厅0厨0卫,163,5.4534,29.89平米,21.07㎡,70年,南,满五年,"首付49万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-09-25,2002-11-26,暂无数据,砖混结构,1965年建/板楼,商品房,集中供暖,其他,低楼层 (共3层),板楼,一梯六户
海尔东城国际北区,"崂山,颐中体育场",3室3厅1厨2卫,545,5.4511,99.98平米,89.15㎡,70年,南 北,满五年,"首付164万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-09-16,2010-11-29,暂无数据,钢混结构,2009年建/板塔结合,商品房,集中供暖,精装,高楼层 (共5层),板塔结合,一梯两户
柏丽澜庭,"市南,奥帆中心",2室2厅1厨2卫,1200,5.4103,221.8平米,185.76㎡,70年,东 南 北,满两年,"首付360万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2015-12-19,2014-07-03,有,钢混结构,2008年建/板楼,商品房,集中供暖,其他,高楼层 (共17层),板楼,一梯三户
天晟苑,"市南,湛山",5室2厅1厨2卫,760,5.3829,141.19平米,暂无数据,70年,南,满五年,"首付228万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-09-24,2012-07-10,有,砖混结构,1998年建/板楼,商品房,集中供暖,精装,高楼层 (共24层),板楼,一梯两户
桃源山色,"崂山,汽车东站",4室2厅2厨2卫,505,5.3821,93.83平米,82.36㎡,50年,南 北,满五年,"首付152万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-06-07,2010-11-16,暂无数据,钢混结构,2011年建/板楼,商品房,集中供暖,其他,低楼层 (共5层),板楼,一梯两户
麦岛金岸,"崂山,麦岛",5室2厅1厨2卫,1150,5.3489,215平米,暂无数据,50年,南 北,满五年,"首付345万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2016-07-26,2012-02-28,有,钢混结构,2009年建/板楼,商品房,集中供暖,其他,低楼层 (共16层),板楼,两梯两户
海尔东城国际北区,"崂山,颐中体育场",5室3厅1厨3卫,780,5.3058,147.01平米,127.87㎡,70年,南 北,满五年,"首付234万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-07-25,2010-10-17,有,钢混结构,2009年建/板楼,商品房,集中供暖,精装,高楼层 (共5层),板楼,一梯两户
溪谷美寓一期,"崂山,汽车东站",5室3厅1厨3卫,690,5.2636,131.09平米,117.41㎡,50年,南 北,满五年,"首付207万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-09-23,2010-11-30,暂无数据,钢混结构,2009年建/板楼,商品房,集中供暖,精装,高楼层 (共6层),板楼,一梯两户
海信天玺,"崂山,麦岛",2室2厅1厨2卫,720,5.2636,136.79平米,106.02㎡,50年,南,满两年,"首付216万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-09-05,2014-03-11,有,钢混结构,2012年建/板楼,商品房,集中供暖,其他,中楼层 (共43层),板楼,三梯三户
海信天玺,"崂山,麦岛",2室2厅1厨2卫,715,5.2624,135.87平米,105.84㎡,50年,南,满两年,"首付215万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2016-11-16,2013-10-11,有,钢混结构,2012年建/板楼,商品房,集中供暖,其他,低楼层 (共39层),板楼,三梯三户
鲁瑞苑,"崂山,雕塑园",3室2厅1厨2卫,1000,5.2291,191.24平米,167.43㎡,50年,南,满五年,"首付300万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-08-24,2009-12-16,暂无数据,钢混结构,2009年建/板楼,商品房,集中供暖,其他,低楼层 (共3层),板楼,一梯两户
山水名园二期,"崂山,石老人",3室3厅1厨3卫,1380,5.2244,264.15平米,南 北,,其他,满五年,"首付414万 ,税费,13.8,万(仅供参考) ,详情",别墅,2017-01-08,2010-03-02,,联排,2009年建,商品房,,集中供暖,低楼层 (共4层),钢混结构,50年
银座领海公馆,"崂山,雕塑园",3室1厅1厨3卫,1200,5.1879,231.31平米,172.56㎡,40年,南 北,满两年,"首付600万 ,税费,13.8,万(仅供参考) ,详情",商住两用,2017-10-21,2015-01-12,有,钢混结构,2012年建/板楼,商品房,集中供暖,其他,高楼层 (共27层),板楼,两梯三户
悦海豪庭,"崂山,石老人",3室2厅1厨2卫,800,5.163,154.95平米,140.06㎡,50年,南 北,满五年,"首付240万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-09-25,2011-05-27,暂无数据,钢混结构,2003年建/板楼,商品房,集中供暖,其他,低楼层 (共5层),板楼,一梯两户
青岛山花园,"市南,大学路",4室1厅1厨2卫,690,5.1578,133.78平米,暂无数据,70年,南,满五年,"首付207万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-03-18,1999-12-13,暂无数据,砖混结构,1999年建/板楼,商品房,集中供暖,精装,低楼层 (共8层),板楼,一梯两户
龙江路,"市南,大学路",2室1厅1厨1卫,312,5.1562,60.51平米,55.38㎡,70年,南 北,满两年,"首付94万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-09-05,2014-05-19,暂无数据,砖混结构,1989年建/板楼,商品房,集中供暖,精装,中楼层 (共6层),板楼,一梯两户
山水名园一期,"崂山,石老人",3室2厅1厨2卫,670,5.1539,130平米,120㎡,50年,南 北,满五年,"首付201万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-07-26,2006-04-29,暂无数据,钢混结构,2005年建/板楼,商品房,集中供暖,其他,低楼层 (共4层),板楼,一梯两户
张店路,"市南,文登路",2室2厅1厨1卫,280,5.1424,54.45平米,34.03㎡,70年,南,满五年,"首付84万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-05-28,2010-06-25,暂无数据,砖混结构,1959年建/板楼,商品房,集中供暖,精装,低楼层 (共1层),板楼,一梯二十九户
山水名园二期,"崂山,石老人",3室3厅1厨4卫,1350,5.0944,265平米,南 北,,其他,满五年,"首付405万 ,税费,13.8,万(仅供参考) ,详情",别墅,2013-01-13,2009-07-31,,联排,2009年建,商品房,,集中供暖,低楼层 (共4层),钢混结构,50年
麦岛金岸,"崂山,麦岛",3室2厅1厨2卫,720,5.0712,141.98平米,111.67㎡,50年,南 北,满五年,"首付216万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-05-21,2010-03-22,有,钢混结构,2009年建/板楼,商品房,集中供暖,其他,中楼层 (共25层),板楼,三梯三户
华山路,"市南,大学路",4室1厅1厨1卫,425,4.9965,85.06平米,暂无数据,70年,南 西 北,满五年,"首付128万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-06-11,1983-01-01,暂无数据,砖混结构,1983年建/板楼,商品房,集中供暖,其他,低楼层 (共6层),板楼,一梯五户
吴县一路,"市南,大学路",2室1厅1厨1卫,579,4.9962,115.89平米,东 南 西 北,,精装,满五年,"首付174万 ,税费,13.8,万(仅供参考) ,详情",别墅,2017-06-13,2005-11-24,,叠拼,1949年建,商品房,,集中供暖,低楼层 (共2层),砖混结构,70年
新湛一路,"市南,湛山",1室0厅1厨1卫,150,4.9473,30.32平米,暂无数据,70年,南 西南,满五年,"首付45万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-08-04,1994-08-01,暂无数据,砖混结构,1994年建/板楼,商品房,集中供暖,其他,高楼层 (共7层),板楼,一梯三户
新湛二路,"市南,湛山",1室0厅1厨1卫,150,4.9294,30.43平米,26.7㎡,70年,南,满两年,"首付45万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-09-26,2015-09-23,暂无数据,砖混结构,1994年建/板楼,商品房,集中供暖,精装,低楼层 (共6层),板楼,一梯四户
掖县路散盘,"市南,大学路",3室1厅1厨1卫,448,4.893,91.56平米,暂无数据,70年,南 北,满五年,"首付135万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-06-14,2003-06-12,暂无数据,钢混结构,1996年建/板楼,商品房,集中供暖,其他,高楼层 (共6层),板楼,一梯两户
鸿泰雅园,"崂山,汽车东站",3室2厅1厨2卫,750,4.8784,153.74平米,140.83㎡,50年,南 北,满五年,"首付225万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-10-13,2011-11-24,暂无数据,钢混结构,2000年建/板楼,商品房,集中供暖,其他,高楼层 (共4层),板楼,一梯两户
山水名园二期,"崂山,石老人",4室2厅1厨3卫,1280,4.8458,264.15平米,暂无数据,50年,南 北,满两年,"首付384万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2014-07-10,2013-10-03,暂无数据,钢混结构,2009年建,商品房,集中供暖,其他,低楼层 (共4层),,一梯四户
悦海豪庭,"崂山,石老人",3室2厅1厨2卫,750,4.8403,154.95平米,140.06㎡,50年,南 北,满五年,"首付225万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-09-15,2011-06-24,暂无数据,钢混结构,2003年建/板楼,商品房,集中供暖,其他,低楼层 (共5层),板楼,一梯两户
龙翔广场,"市南,五四广场",5室2厅1厨4卫,1650,4.8388,341平米,314.65㎡,70年,南 北,满五年,"首付495万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-03-29,1999-04-01,暂无数据,砖混结构,2002年建/板楼,商品房,集中供暖,精装,低楼层 (共4层),板楼,一梯两户
海信天玺,"崂山,麦岛",2室2厅1厨2卫,660,4.8281,136.7平米,暂无数据,50年,南 北,满两年,"首付198万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2016-12-08,2013-11-18,有,钢混结构,2012年建/板楼,商品房,集中供暖,其他,低楼层 (共43层),板楼,三梯三户
华严一路,"市南,湛山",2室1厅1厨1卫,276,4.7917,57.6平米,52.7㎡,70年,东,满五年,"首付83万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-10-06,1989-10-10,暂无数据,砖混结构,1991年建/板楼,已购公房,集中供暖,简装,低楼层 (共6层),板楼,一梯四户
鲁商首府一期,"市南,奥帆中心",2室2厅1厨2卫,630,4.7584,132.4平米,99.53㎡,70年,南 北,满两年,"首付189万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-08-31,2014-01-16,有,钢混结构,2012年建/板楼,商品房,集中供暖,其他,低楼层 (共32层),板楼,三梯两户
凯旋公寓,"崂山,雕塑园",2室1厅1厨1卫,450,4.7574,94.59平米,85.54㎡,50年,南 北,满两年,"首付135万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-07-21,2014-04-16,暂无数据,钢混结构,1999年建/板楼,商品房,集中供暖,其他,低楼层 (共5层),板楼,一梯两户
鸿泰雅园,"崂山,汽车东站",2室2厅1厨1卫,425,4.7455,89.56平米,南 北,,精装,满五年,"首付128万 ,税费,13.8,万(仅供参考) ,详情",别墅,2017-09-25,2012-01-05,,双拼,2000年建,商品房,,集中供暖,低楼层 (共5层),钢混结构,50年
银都花园北区,"市南,麦岛",3室2厅1厨2卫,500,4.6997,106.39平米,暂无数据,70年,南 北,满五年,"首付150万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2015-09-19,1999-08-10,暂无数据,砖混结构,1995年建/板楼,商品房,集中供暖,简装,高楼层 (共6层),板楼,一梯三户
红岛支路,"市南,大学路",3室1厅1厨2卫,460,4.6963,97.95平米,暂无数据,70年,南 北,满五年,"首付138万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-02-22,2003-05-07,暂无数据,钢混结构,1997年建/板楼,商品房,集中供暖,其他,高楼层 (共6层),板楼,一梯三户
山水名园三期,"崂山,石老人",6室3厅1厨3卫,595,4.6851,127平米,115.23㎡,50年,南 北,满两年,"首付179万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-06-22,2015-09-07,暂无数据,钢混结构,2010年建/板楼,商品房,集中供暖,其他,高楼层 (共6层),板楼,一梯两户
麦岛金岸,"崂山,麦岛",3室2厅1厨2卫,790,4.6815,168.75平米,132.24㎡,50年,南 北,满五年,"首付237万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-08-11,2012-07-02,有,钢混结构,2009年建/板楼,商品房,集中供暖,其他,中楼层 (共25层),板楼,三梯三户
大学路,"市南,大学路",2室1厅1厨1卫,315,4.6799,67.31平米,暂无数据,70年,南,满五年,"首付95万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-10-12,2007-12-25,暂无数据,未知结构,未知年建,已购公房,暂无数据,其他,低楼层 (共2层),,一梯五户
麦岛金岸,"崂山,麦岛",3室2厅1厨2卫,880,4.6569,188.97平米,暂无数据,50年,南 北,满两年,"首付264万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-08-27,2015-08-07,有,钢混结构,2009年建/板楼,商品房,集中供暖,精装,低楼层 (共25层),板楼,三梯三户
佛涛路,"市南,八大关",3室1厅1厨1卫,315,4.644,67.83平米,59.82㎡,70年,南 北,满五年,"首付95万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-08-05,1988-12-01,暂无数据,砖混结构,1981年建/板楼,商品房,集中供暖,简装,低楼层 (共7层),板楼,一梯四户
鲁商首府二期,"市南,奥帆中心",2室1厅1厨2卫,570,4.6255,123.23平米,93.95㎡,70年,南,满两年,"首付171万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-09-14,2015-04-17,有,钢混结构,2013年建/板楼,商品房,集中供暖,其他,高楼层 (共33层),板楼,两梯两户
颐灏海怡名都,"崂山,麦岛",3室2厅1厨2卫,770,4.6097,167.04平米,148.04㎡,50年,南 北,满五年,"首付231万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-09-12,2006-04-29,暂无数据,钢混结构,2006年建/板楼,商品房,集中供暖,其他,中楼层 (共5层),板楼,一梯一户
东海一路,"市南,湛山",4室1厅1厨2卫,460,4.5991,100.02平米,89.91㎡,70年,南 北,满两年,"首付138万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-09-13,2013-08-23,暂无数据,砖混结构,1994年建/板楼,商品房,集中供暖,其他,高楼层 (共7层),板楼,一梯两户
梅海园,"崂山,雕塑园",3室2厅1厨2卫,540,4.5763,118平米,暂无数据,50年,南 北,满五年,"首付162万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-02-26,2009-06-24,暂无数据,钢混结构,2002年建/板楼,商品房,集中供暖,精装,高楼层 (共5层),板楼,一梯两户
丽海花园一期,"崂山,崂山CBD",4室3厅1厨2卫,370,4.5753,80.87平米,71.74㎡,50年,东 南 北,满两年,"首付111万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-10-08,2014-07-14,暂无数据,砖混结构,2002年建/板楼,商品房,集中供暖,其他,高楼层 (共6层),板楼,一梯两户
柏丽澜庭,"市南,奥帆中心",2室2厅1厨2卫,820,4.5642,179.66平米,143.39㎡,70年,南 北,满五年,"首付246万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-07-31,2011-09-13,有,钢混结构,2008年建/板楼,商品房,集中供暖,其他,低楼层 (共13层),板楼,一梯三户
麦岛金岸,"崂山,麦岛",4室2厅1厨2卫,950,4.5542,208.6平米,173.26㎡,50年,南 北,满五年,"首付285万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-02-21,2010-01-15,有,钢混结构,2009年建/板楼,商品房,集中供暖,其他,低楼层 (共14层),板楼,两梯两户
龙江路,"市南,大学路",3室1厅1厨1卫,630,4.5521,138.4平米,暂无数据,70年,南,满两年,"首付189万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-06-17,2015-06-10,暂无数据,砖混结构,1989年建/板楼,商品房,集中供暖,简装,中楼层 (共4层),板楼,一梯一户
书香门第,"崂山,石老人",3室2厅1厨2卫,635,4.4994,141.13平米,127.5㎡,50年,南 北,满五年,"首付191万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2015-04-12,2009-08-20,暂无数据,钢混结构,2007年建/板楼,商品房,集中供暖,毛坯,高楼层 (共5层),板楼,一梯两户
信号山路,"市南,大学路",2室1厅1厨1卫,292,4.4965,64.94平米,暂无数据,70年,东南,满五年,"首付88万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-10-05,2003-04-10,暂无数据,砖混结构,1995年建/板楼,商品房,集中供暖,其他,中楼层 (共6层),板楼,一梯三户
鲁信未央花园,"崂山,雕塑园",4室2厅1厨3卫,889,4.4836,198.28平米,1㎡,50年,南 北,满五年,"首付267万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-07-13,2012-05-25,有,钢混结构,2004年建/板楼,商品房,集中供暖,其他,低楼层 (共2层),板楼,一梯两户
鲁信长春花园,"崂山,颐中体育场",5室2厅1厨3卫,640,4.464,143.37平米,暂无数据,50年,南,满两年,"首付192万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-05-10,2015-05-08,有,钢混结构,2006年建/板楼,商品房,集中供暖,精装,高楼层 (共6层),板楼,一梯两户
锦绣华城一期,"市南,中央CBD",3室2厅2厨2卫,770,4.4636,172.51平米,154.72㎡,70年,南,满五年,"首付231万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-08-05,2012-06-19,有,钢混结构,2010年建/板楼,商品房,集中供暖,其他,低楼层 (共6层),板楼,一梯两户
柏丽澜庭,"市南,奥帆中心",2室1厅1厨2卫,800,4.4554,179.56平米,143.3㎡,70年,南 北,满五年,"首付240万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2015-06-04,2011-09-13,有,钢混结构,2008年建/板楼,商品房,集中供暖,其他,中楼层 (共13层),板楼,一梯三户
金海广场,"市南,奥帆中心",3室2厅1厨2卫,620,4.4534,139.22平米,15.23㎡,70年,南 北,满五年,"首付186万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-05-09,2003-05-06,暂无数据,钢混结构,2001年建/板楼,商品房,自供暖,其他,高楼层 (共8层),板楼,一梯两户
山水名园二期,"崂山,石老人",5室3厅1厨3卫,680,4.4497,152.82平米,138.22㎡,50年,南 北,满两年,"首付204万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-06-19,2014-11-18,暂无数据,钢混结构,2009年建/板楼,商品房,集中供暖,其他,高楼层 (共4层),板楼,一梯两户
麦岛金岸,"崂山,麦岛",3室2厅1厨2卫,838,4.4339,189平米,134.99㎡,50年,南 北,满两年,"首付252万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-09-14,2013-04-10,有,钢混结构,2009年建/板楼,商品房,集中供暖,其他,低楼层 (共28层),板楼,三梯三户
溪谷美寓一期,"崂山,汽车东站",2室2厅1厨1卫,420,4.4141,95.15平米,85.22㎡,50年,南 北,满两年,"首付126万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-09-13,2014-03-14,暂无数据,钢混结构,2009年建/板楼,商品房,集中供暖,其他,低楼层 (共6层),板楼,一梯两户
锦绣华城二期,"市南,中央CBD",3室2厅1厨1卫,510,4.4008,115.89平米,100.21㎡,70年,南 北,满五年,"首付153万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-09-23,2012-04-01,暂无数据,钢混结构,2011年建/板楼,商品房,集中供暖,其他,中楼层 (共6层),板楼,一梯两户
金岭花园A区,"崂山,崂山CBD",2室2厅1厨2卫,400,4.386,91.2平米,80.52㎡,50年,南 北,满五年,"首付120万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-09-30,2011-07-15,暂无数据,砖混结构,2002年建/板楼,商品房,集中供暖,其他,高楼层 (共5层),板楼,一梯三户
新湛一路,"市南,湛山",2室1厅1厨1卫,228,4.367,52.21平米,46.8㎡,70年,南,满两年,"首付69万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-09-01,2012-12-26,暂无数据,砖混结构,1994年建/板楼,商品房,集中供暖,精装,低楼层 (共7层),板楼,一梯四户
天林山庄,"崂山,雕塑园",3室2厅1厨2卫,600,4.3542,137.8平米,119.03㎡,50年,南 北,满两年,"首付180万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-10-18,2014-11-06,暂无数据,钢混结构,2000年建/板楼,商品房,集中供暖,其他,中楼层 (共5层),板楼,一梯一户
金光都市名家,"崂山,麦岛",3室2厅1厨2卫,568,4.3303,131.17平米,111.27㎡,50年,南,满两年,"首付171万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-02-26,2013-03-14,有,钢混结构,2006年建/板塔结合,商品房,集中供暖,其他,低楼层 (共20层),板塔结合,两梯四户
颐灏海怡名都,"崂山,麦岛",3室2厅1厨2卫,645,4.3193,149.33平米,暂无数据,50年,南 北,满五年,"首付194万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-07-28,2007-08-02,有,钢混结构,2006年建/板楼,商品房,集中供暖,其他,中楼层 (共9层),板楼,一梯两户
