hold_year,supply_heating,price_per_area,property_year,sell_time,house_direction,latest_trade,house_used,area,elevator,building_structure,valid_area,price,payandtax,buildtime,trade_property,address,house_type,name,fitment,floor,building_type,household_num
满五年,集中供暖,35742,70年,2017-07-25,南 北,2011-06-14,普通住宅,90.93平米,有,钢混结构,73.62㎡,325,"首付98万 ,税费,13.8,万(仅供参考) ,详情",2008年建/板塔结合,商品房,"崂山,颐中体育场",2室2厅1厨1卫,海尔东城国际北区,精装,中楼层 (共22层),板塔结合,两梯三户
满五年,集中供暖,21646,50年,2017-10-12,南 北,2002-07-20,普通住宅,94.71平米,暂无数据,钢混结构,暂无数据,205,"首付62万 ,税费,13.8,万(仅供参考) ,详情",2002年建/板楼,商品房,"市北,海泊河",2室2厅1厨1卫,银河山庄,其他,中楼层 (共6层),板楼,一梯两户
满五年,集中供暖,28924,70年,2017-10-09,南,2011-01-20,普通住宅,130平米,有,钢混结构,109㎡,376,"首付113万 ,税费,13.8,万(仅供参考) ,详情",2009年建/板楼,经济适用房,"市南,福安",3室2厅1厨2卫,延福花园,精装,中楼层 (共16层),板楼,一梯三户
满五年,集中供暖,24938,70年,2017-07-19,南 北,2002-12-29,普通住宅,83.81平米,暂无数据,砖混结构,72.53㎡,209,"首付63万 ,税费,13.8,万(仅供参考) ,详情",2000年建/板楼,商品房,"市北,同安路",2室2厅1厨1卫,浮山后六小区,简装,中楼层 (共7层),板楼,一梯两户
满五年,集中供暖,16767,70年,2017-08-26,南 北,2010-12-17,普通住宅,93.64平米,暂无数据,钢混结构,82.6㎡,157,"首付48万 ,税费,13.8,万(仅供参考) ,详情",2009年建/板楼,商品房,"黄岛,唐岛湾",2室2厅1厨1卫,锦源尚都,简装,低楼层 (共6层),板楼,一梯两户
满五年,集中供暖,26560,70年,2017-06-28,南,1990-01-01,普通住宅,58.36平米,暂无数据,砖混结构,暂无数据,155,"首付47万 ,税费,13.8,万(仅供参考) ,详情",1990年建/板楼,商品房,"市南,大尧",2室1厅1厨1卫,逍遥小区（逍遥一路）,简装,中楼层 (共6层),板楼,一梯三户
满五年,集中供暖,16681,50年,2016-06-25,南,2008-01-25,普通住宅,94.72平米,有,钢混结构,74.75㎡,158,"首付48万 ,税费,13.8,万(仅供参考) ,详情",2006年建/板楼,商品房,"黄岛,唐岛湾",1室1厅1厨1卫,千禧龙花园,精装,中楼层 (共28层),板楼,三梯八户
满五年,集中供暖,15523,50年,2016-10-26,南 北,2012-03-14,普通住宅,93.41平米,有,钢混结构,暂无数据,145,"首付44万 ,税费,13.8,万(仅供参考) ,详情",2009年建/板楼,商品房,"黄岛,薛家岛",2室2厅1厨1卫,锦都家园,毛坯,高楼层 (共29层),板楼,一梯三户
满五年,集中供暖,24683,70年,2017-09-23,南 北,2005-05-26,普通住宅,85.08平米,暂无数据,钢混结构,75.83㎡,210,"首付63万 ,税费,13.8,万(仅供参考) ,详情",2002年建/板楼,商品房,"市北,浮山后",2室1厅1厨1卫,浮山后一小区,精装,中楼层 (共7层),板楼,一梯两户
满五年,集中供暖,29991,70年,2017-07-17,东 南 北,2012-02-11,普通住宅,92.03平米,有,钢混结构,75.29㎡,276,"首付83万 ,税费,13.8,万(仅供参考) ,详情",2010年建/板楼,商品房,"市北,台东",3室2厅1厨1卫,凯景花园,精装,高楼层 (共18层),板楼,一梯三户
满五年,集中供暖,22014,70年,2017-10-16,南,2008-04-03,普通住宅,88.58平米,暂无数据,砖混结构,77.36㎡,195,"首付59万 ,税费,13.8,万(仅供参考) ,详情",2003年建/板楼,商品房,"市北,闫家山",2室1厅1厨1卫,幸福家园,精装,中楼层 (共6层),板楼,一梯两户
满五年,集中供暖,23581,70年,2017-07-12,南 北,2002-06-16,普通住宅,60.22平米,暂无数据,砖混结构,53.04㎡,142,"首付43万 ,税费,13.8,万(仅供参考) ,详情",1993年建/板楼,已购公房,"市南,大尧",2室1厅1厨1卫,福林小区（大尧三路）,简装,低楼层 (共6层),板楼,一梯两户
满五年,集中供暖,20026,70年,2017-10-14,南 北,2011-09-08,普通住宅,78.9平米,有,钢混结构,60.02㎡,158,"首付48万 ,税费,13.8,万(仅供参考) ,详情",2011年建/板楼,商品房,"李沧,下王埠",2室1厅1厨1卫,春和景明一期,精装,高楼层 (共19层),板楼,两梯四户
满五年,集中供暖,32906,70年,2017-09-16,南 北,2000-12-14,普通住宅,96.64平米,暂无数据,砖混结构,暂无数据,318,"首付96万 ,税费,13.8,万(仅供参考) ,详情",2000年建/板楼,商品房,"市南,大尧",3室1厅1厨2卫,福林花园,简装,低楼层 (共6层),板楼,一梯两户
满五年,集中供暖,33545,70年,2017-10-16,南,2004-05-08,普通住宅,208.08平米,有,砖混结构,暂无数据,698,"首付210万 ,税费,13.8,万(仅供参考) ,详情",2000年建/板楼,商品房,"市南,奥帆中心",4室2厅1厨3卫,华达公寓,简装,高楼层 (共19层),板楼,两梯两户
满五年,集中供暖,15816,70年,2017-10-10,南 北,2009-06-05,普通住宅,85.36平米,暂无数据,钢混结构,76.14㎡,135,"首付41万 ,税费,13.8,万(仅供参考) ,详情",2002年建/板楼,商品房,"黄岛,香江路",2室1厅1厨1卫,江山路西小区C组团,精装,中楼层 (共7层),板楼,一梯两户
满五年,集中供暖,31013,70年,2017-07-02,南 北,2010-01-07,普通住宅,102.54平米,有,钢混结构,81.72㎡,318,"首付96万 ,税费,13.8,万(仅供参考) ,详情",2008年建/板塔结合,商品房,"崂山,颐中体育场",2室2厅1厨1卫,海尔东城国际北区,精装,低楼层 (共20层),板塔结合,两梯四户
满五年,集中供暖,24924,70年,2017-10-09,南 北,1996-10-01,普通住宅,68.21平米,暂无数据,砖混结构,暂无数据,170,"首付51万 ,税费,13.8,万(仅供参考) ,详情",1995年建/板楼,已购公房,"市南,天山银海",2室1厅1厨1卫,天山小区（宁国路）,简装,高楼层 (共6层),板楼,一梯两户
满五年,集中供暖,31082,70年,2017-09-14,南 北,2010-06-04,普通住宅,98.13平米,暂无数据,钢混结构,88.36㎡,305,"首付92万 ,税费,13.8,万(仅供参考) ,详情",2003年建/板楼,商品房,"市南,天山银海",2室2厅1厨1卫,天福苑,精装,中楼层 (共5层),板楼,一梯两户
满五年,集中供暖,26032,70年,2017-10-11,南 北,2000-08-25,普通住宅,95.27平米,暂无数据,砖混结构,90㎡,248,"首付75万 ,税费,13.8,万(仅供参考) ,详情",2000年建/板楼,商品房,"市南,天山银海",3室1厅1厨1卫,海牛花园,简装,中楼层 (共6层),板楼,一梯两户
满五年,集中供暖,21119,70年,2017-10-17,南 北,2009-07-19,普通住宅,108.91平米,暂无数据,钢混结构,暂无数据,230,"首付69万 ,税费,13.8,万(仅供参考) ,详情",1998年建/板楼,商品房,"市北,海泊河",3室2厅1厨1卫,华阳路广华园小区,精装,中楼层 (共7层),板楼,一梯四户
满五年,集中供暖,25427,70年,2017-07-27,南,1990-02-01,普通住宅,66.86平米,暂无数据,砖混结构,暂无数据,170,"首付51万 ,税费,13.8,万(仅供参考) ,详情",1991年建/板楼,商品房,"市南,大尧",2室1厅1厨1卫,逍遥小区（宁夏路295号）,其他,中楼层 (共6层),板楼,一梯四户
满五年,集中供暖,27473,70年,2017-10-11,南 北,2010-12-28,普通住宅,89.18平米,有,钢混结构,69.47㎡,245,"首付74万 ,税费,13.8,万(仅供参考) ,详情",2008年建/板塔结合,商品房,"市北,中央CBD",2室1厅1厨2卫,万达39克拉,精装,高楼层 (共30层),板塔结合,两梯五户
满五年,集中供暖,28987,70年,2017-10-09,东 东南 南,2010-09-07,普通住宅,115.57平米,有,钢混结构,90.03㎡,335,"首付101万 ,税费,13.8,万(仅供参考) ,详情",2008年建/板塔结合,商品房,"市北,中央CBD",3室2厅1厨1卫,万达39克拉,精装,低楼层 (共30层),板塔结合,两梯五户
满五年,集中供暖,18850,70年,2017-05-04,南 北,2006-07-20,普通住宅,110.35平米,暂无数据,砖混结构,95.88㎡,208,"首付63万 ,税费,13.8,万(仅供参考) ,详情",2004年建/板楼,商品房,"李沧,十梅庵",3室1厅1厨1卫,海信南岭风情,精装,中楼层 (共5层),板楼,一梯两户
满五年,集中供暖,12940,70年,2017-06-20,南 北,2005-08-10,普通住宅,135.25平米,暂无数据,钢混结构,120㎡,175,"首付53万 ,税费,13.8,万(仅供参考) ,详情",2005年建/板楼,商品房,"黄岛,东方影都",3室2厅1厨1卫,瑞海花园B区,毛坯,中楼层 (共7层),板楼,一梯两户
满五年,集中供暖,20899,70年,2017-09-24,南 北,2002-08-21,普通住宅,73.69平米,暂无数据,钢混结构,64.21㎡,154,"首付47万 ,税费,13.8,万(仅供参考) ,详情",1995年建/板楼,商品房,"市北,理工大学",2室2厅1厨1卫,抚顺路21号小区,简装,中楼层 (共7层),板楼,一梯四户
满五年,集中供暖,26275,70年,2017-09-25,南 北,2008-09-28,普通住宅,63.18平米,暂无数据,砖混结构,56.52㎡,166,"首付50万 ,税费,13.8,万(仅供参考) ,详情",2000年建/板楼,拆迁还建房,"市南,田家花园",2室1厅1厨1卫,田家花园D区,其他,高楼层 (共6层),板楼,一梯三户
满两年,集中供暖,17406,50年,2017-10-02,南 北,2013-09-02,普通住宅,89.05平米,有,钢混结构,64.84㎡,155,"首付47万 ,税费,13.8,万(仅供参考) ,详情",2010年建/板楼,商品房,"黄岛,薛家岛",3室2厅1厨1卫,千城凤梧金沙,其他,低楼层 (共23层),板楼,两梯三户
满五年,集中供暖,40633,70年,2017-06-28,南,2010-09-25,普通住宅,139.79平米,暂无数据,钢混结构,124.65㎡,568,"首付171万 ,税费,13.8,万(仅供参考) ,详情",2009年建/板塔结合,商品房,"崂山,颐中体育场",3室2厅1厨2卫,海尔东城国际北区,精装,中楼层 (共5层),板塔结合,一梯两户
满五年,集中供暖,18598,70年,2017-07-30,南 北,2008-07-24,普通住宅,126.36平米,有,钢混结构,104.98㎡,235,"首付71万 ,税费,13.8,万(仅供参考) ,详情",2006年建/板楼,商品房,"市北,水清沟",3室1厅1厨1卫,水乡苑,毛坯,低楼层 (共12层),板楼,一梯两户
满五年,集中供暖,27115,70年,2017-10-14,南,2010-10-01,普通住宅,64.91平米,暂无数据,砖混结构,59.26㎡,176,"首付53万 ,税费,13.8,万(仅供参考) ,详情",1992年建/板楼,已购公房,"市南,大尧",2室1厅1厨1卫,逍遥小区（逍遥二路）,简装,中楼层 (共7层),板楼,一梯两户
满五年,集中供暖,38449,70年,2017-06-01,南 北,1991-06-01,普通住宅,85.83平米,暂无数据,砖混结构,78㎡,330,"首付99万 ,税费,13.8,万(仅供参考) ,详情",1994年建/板楼,已购公房,"市南,湛山",3室1厅1厨1卫,晓望路,精装,中楼层 (共6层),板楼,一梯两户
满两年,集中供暖,18495,70年,2017-10-08,南,2013-11-26,普通住宅,132.47平米,有,钢混结构,110.87㎡,245,"首付74万 ,税费,13.8,万(仅供参考) ,详情",2012年建/板楼,商品房,"城阳,城阳实验二小",4室2厅1厨2卫,贵爵公寓,其他,中楼层 (共9层),板楼,一梯两户
满五年,集中供暖,25200,70年,2017-10-18,南 北,2010-04-19,普通住宅,62.7平米,暂无数据,砖混结构,57.06㎡,158,"首付48万 ,税费,13.8,万(仅供参考) ,详情",1996年建/板楼,商品房,"市南,新贵都",2室1厅1厨1卫,徐州路（市南东区）,简装,低楼层 (共7层),板楼,一梯三户
满五年,集中供暖,12588,70年,2017-10-19,南,2009-06-11,普通住宅,91.36平米,暂无数据,砖混结构,78㎡,115,"首付35万 ,税费,13.8,万(仅供参考) ,详情",未知年建/板楼,商品房,"黄岛,香江路",2室1厅1厨1卫,新时代小区,简装,中楼层 (共7层),板楼,一梯五户
满五年,集中供暖,26996,70年,2017-10-18,南 北,2010-06-18,普通住宅,86.31平米,暂无数据,钢混结构,75.78㎡,233,"首付70万 ,税费,13.8,万(仅供参考) ,详情",2009年建/板楼,商品房,"市北,同安路",2室2厅1厨2卫,锦源秀邸,精装,高楼层 (共7层),板楼,一梯三户
满五年,集中供暖,53829,70年,2017-09-24,南,2012-07-10,普通住宅,141.19平米,有,砖混结构,暂无数据,760,"首付228万 ,税费,13.8,万(仅供参考) ,详情",1998年建/板楼,商品房,"市南,湛山",5室2厅1厨2卫,天晟苑,精装,高楼层 (共24层),板楼,一梯两户
满五年,集中供暖,30252,70年,2017-08-16,南 西 北,2010-11-01,普通住宅,128.59平米,有,钢混结构,110.54㎡,389,"首付117万 ,税费,13.8,万(仅供参考) ,详情",2009年建/板楼,商品房,"崂山,雕塑园",3室2厅1厨1卫,亚麦山城二期,其他,中楼层 (共11层),板楼,一梯三户
满五年,集中供暖,36000,50年,2017-08-04,南 北,2010-08-12,普通住宅,150平米,有,钢混结构,130.53㎡,540,"首付162万 ,税费,13.8,万(仅供参考) ,详情",2006年建/板楼,商品房,"崂山,颐中体育场",3室2厅1厨2卫,鲁信长春花园,其他,中楼层 (共8层),板楼,一梯两户
满五年,集中供暖,26822,70年,2017-07-18,南 北,2009-06-25,普通住宅,96.19平米,暂无数据,钢混结构,暂无数据,258,"首付78万 ,税费,13.8,万(仅供参考) ,详情",2005年建/板楼,商品房,"市北,浮山后",2室2厅1厨1卫,明翠雅庭一期,简装,中楼层 (共7层),板楼,一梯两户
满五年,集中供暖,37058,50年,2016-10-09,南 北,2007-11-01,普通住宅,142.48平米,有,钢混结构,114.85㎡,528,"首付159万 ,税费,13.8,万(仅供参考) ,详情",2009年建/板楼,商品房,"崂山,崂山CBD",3室2厅1厨2卫,金领世家,精装,低楼层 (共20层),板楼,两梯两户
满五年,集中供暖,14819,50年,2017-08-26,南 北,2001-09-01,普通住宅,97.85平米,暂无数据,砖混结构,暂无数据,145,"首付44万 ,税费,13.8,万(仅供参考) ,详情",2000年建/板楼,商品房,"黄岛,唐岛湾",2室1厅1厨1卫,唐岛湾A小区,其他,高楼层 (共6层),板楼,一梯两户
满五年,集中供暖,25169,70年,2017-10-08,南 西 北,2001-06-27,普通住宅,87.41平米,暂无数据,砖混结构,80㎡,220,"首付66万 ,税费,13.8,万(仅供参考) ,详情",1997年建/板楼,商品房,"市南,福安",3室1厅1厨1卫,建信花园,其他,中楼层 (共7层),板楼,一梯四户
满五年,暂无数据,11506,未知,2017-10-09,南,2010-05-10,普通住宅,79.96平米,暂无数据,未知结构,64.09㎡,92,"首付28万 ,税费,13.8,万(仅供参考) ,详情",未知年建,商品房,"黄岛,辛安",2室1厅1厨1卫,海尔幸福里,其他,低楼层 (共11层),,一梯三户
满五年,集中供暖,24028,70年,2017-08-30,南 北,2009-02-28,普通住宅,67.84平米,暂无数据,砖混结构,61.81㎡,163,"首付49万 ,税费,13.8,万(仅供参考) ,详情",1998年建/板楼,商品房,"市南,中央CBD",2室1厅1厨1卫,丰县路,简装,低楼层 (共7层),板楼,一梯两户
满五年,集中供暖,37291,70年,2017-09-27,南 北,2005-07-20,普通住宅,96.54平米,暂无数据,砖混结构,86.93㎡,360,"首付108万 ,税费,13.8,万(仅供参考) ,详情",1998年建/板楼,商品房,"市南,麦岛",2室2厅1厨1卫,金都新村,精装,高楼层 (共6层),板楼,一梯两户
满五年,集中供暖,22101,70年,2017-08-19,南,2010-04-30,普通住宅,74.66平米,暂无数据,砖混结构,65.12㎡,165,"首付50万 ,税费,13.8,万(仅供参考) ,详情",1994年建/板楼,商品房,"市北,错埠岭",3室1厅1厨1卫,错埠岭二路,精装,高楼层 (共6层),板楼,一梯两户
满五年,集中供暖,18700,70年,2017-09-05,南 北,2010-11-11,普通住宅,123平米,有,砖混结构,暂无数据,230,"首付69万 ,税费,13.8,万(仅供参考) ,详情",1996年建/板楼,商品房,"市南,远洋广场",2室1厅1厨1卫,鹏程花园,精装,低楼层 (共24层),板楼,六梯十八户
满五年,集中供暖,20213,70年,2017-06-08,西北,2003-06-17,普通住宅,47平米,暂无数据,钢混结构,47㎡,95,"首付29万 ,税费,13.8,万(仅供参考) ,详情",1985年建/板楼,已购公房,"市南,镇江路",2室0厅1厨1卫,镇江路,毛坯,中楼层 (共6层),板楼,一梯五户
满五年,集中供暖,23895,70年,2017-10-02,东 西,2007-06-04,普通住宅,81.61平米,暂无数据,砖混结构,72.27㎡,195,"首付59万 ,税费,13.8,万(仅供参考) ,详情",1998年建/板楼,商品房,"市南,天山银海",2室2厅1厨1卫,双珠小区,精装,低楼层 (共6层),板楼,一梯两户
满五年,集中供暖,31276,70年,2017-10-19,南,1996-01-01,普通住宅,86.33平米,暂无数据,砖混结构,暂无数据,270,"首付81万 ,税费,13.8,万(仅供参考) ,详情",2000年建/板楼,商品房,"市南,闽江路",3室1厅1厨1卫,福州南路（市南东区）,精装,中楼层 (共7层),板楼,一梯三户
满五年,集中供暖,12453,70年,2017-10-19,南 北,2009-09-10,普通住宅,106平米,暂无数据,砖混结构,暂无数据,132,"首付40万 ,税费,13.8,万(仅供参考) ,详情",2000年建/板楼,商品房,"黄岛,香江路",3室2厅1厨1卫,新时代小区,简装,高楼层 (共7层),板楼,一梯四户
满五年,集中供暖,17852,70年,2017-09-26,南,2009-11-12,普通住宅,61.06平米,暂无数据,钢混结构,暂无数据,109,"首付33万 ,税费,13.8,万(仅供参考) ,详情",1999年建/板楼,商品房,"市北,闫家山",2室1厅1厨1卫,新园小区,精装,高楼层 (共6层),板楼,一梯四户
满五年,集中供暖,24638,70年,2017-10-21,南,2011-10-01,普通住宅,69平米,有,钢混结构,54.45㎡,170,"首付51万 ,税费,13.8,万(仅供参考) ,详情",2010年建/板楼,商品房,"市北,海泊河",1室1厅1厨1卫,花好月圆,精装,高楼层 (共35层),板楼,两梯五户
满五年,集中供暖,26702,70年,2017-07-17,南 北,2010-01-26,普通住宅,129.58平米,有,钢混结构,105.33㎡,346,"首付104万 ,税费,13.8,万(仅供参考) ,详情",2008年建/板塔结合,商品房,"崂山,颐中体育场",2室2厅1厨2卫,海尔东城国际北区,精装,中楼层 (共22层),板塔结合,两梯四户
满五年,集中供暖,24538,70年,2017-06-01,南 北,2007-03-19,普通住宅,71.32平米,暂无数据,钢混结构,暂无数据,175,"首付53万 ,税费,13.8,万(仅供参考) ,详情",1999年建/板楼,商品房,"市北,浮山后",2室1厅1厨1卫,浮山后一小区,其他,低楼层 (共7层),板楼,一梯两户
满五年,集中供暖,36938,50年,2017-09-11,南,2012-02-24,普通住宅,137.53平米,有,钢混结构,116.84㎡,508,"首付153万 ,税费,13.8,万(仅供参考) ,详情",2006年建/板楼,商品房,"崂山,颐中体育场",3室2厅1厨2卫,鲁信长春花园,精装,高楼层 (共11层),板楼,一梯两户
满五年,集中供暖,31668,70年,2017-05-18,南,2008-07-24,普通住宅,60.63平米,暂无数据,砖混结构,56.76㎡,192,"首付58万 ,税费,13.8,万(仅供参考) ,详情",1992年建/板楼,商品房,"市南,大学路",2室1厅1厨1卫,苏州路,其他,中楼层 (共6层),板楼,一梯六户
满五年,集中供暖,26737,50年,2017-08-11,南 北,2003-06-10,普通住宅,74.43平米,暂无数据,砖混结构,暂无数据,199,"首付60万 ,税费,13.8,万(仅供参考) ,详情",1998年建/板楼,商品房,"市南,闽江路",2室2厅1厨1卫,闽江苑,其他,中楼层 (共7层),板楼,一梯三户
满五年,集中供暖,20694,70年,2017-06-25,南 北,2002-11-11,普通住宅,99.55平米,暂无数据,砖混结构,92.84㎡,206,"首付62万 ,税费,13.8,万(仅供参考) ,详情",1998年建/板楼,商品房,"市北,海泊河",3室1厅1厨1卫,汉口路,简装,低楼层 (共6层),板楼,一梯三户
满五年,集中供暖,28976,70年,2017-06-17,南 北,2012-01-10,普通住宅,89.73平米,有,钢混结构,暂无数据,260,"首付78万 ,税费,13.8,万(仅供参考) ,详情",2011年建/板楼,商品房,"市北,北岭",3室1厅1厨1卫,万科金色城品,精装,中楼层 (共11层),板楼,一梯两户
满五年,集中供暖,21592,70年,2017-06-20,南 北,2011-12-14,普通住宅,129.68平米,暂无数据,钢混结构,106.1㎡,280,"首付84万 ,税费,13.8,万(仅供参考) ,详情",2012年建/板楼,商品房,"黄岛,金沙滩",3室2厅1厨2卫,提香海岸多层,精装,中楼层 (共6层),板楼,一梯两户
满五年,集中供暖,32574,50年,2017-06-25,南 北,2009-03-28,普通住宅,156.57平米,有,钢混结构,139.09㎡,510,"首付153万 ,税费,13.8,万(仅供参考) ,详情",2008年建/板楼,商品房,"崂山,颐中体育场",3室2厅1厨2卫,鲁信长春花园,精装,高楼层 (共12层),板楼,一梯两户
满五年,集中供暖,12348,70年,2017-10-15,南 北,2010-01-04,普通住宅,68.84平米,暂无数据,钢混结构,61.23㎡,85,"首付26万 ,税费,13.8,万(仅供参考) ,详情",2002年建/板楼,商品房,"黄岛,保税区",2室1厅1厨1卫,濠北头社区,简装,高楼层 (共6层),板楼,一梯三户
满五年,集中供暖,17227,50年,2017-10-11,南 北,2012-05-11,普通住宅,89.98平米,有,钢混结构,72.46㎡,155,"首付47万 ,税费,13.8,万(仅供参考) ,详情",2012年建/板楼,商品房,"黄岛,东方影都",2室2厅1厨1卫,东方华庭,其他,中楼层 (共11层),板楼,一梯三户
满两年,集中供暖,17317,50年,2017-10-09,南 北,2013-06-05,普通住宅,89.51平米,有,钢混结构,68.17㎡,155,"首付47万 ,税费,13.8,万(仅供参考) ,详情",2010年建/板楼,商品房,"黄岛,薛家岛",2室2厅1厨1卫,永联佳园,其他,高楼层 (共30层),板楼,两梯三户
满五年,集中供暖,25045,70年,2017-03-24,南,2007-09-10,普通住宅,84.65平米,暂无数据,钢混结构,73㎡,212,"首付64万 ,税费,13.8,万(仅供参考) ,详情",1999年建/板楼,商品房,"市北,浮山后",2室1厅1厨1卫,浮山后二小区,简装,低楼层 (共7层),板楼,一梯两户
满五年,集中供暖,26425,70年,2017-06-02,南,2001-09-24,普通住宅,77.2平米,暂无数据,砖混结构,暂无数据,204,"首付62万 ,税费,13.8,万(仅供参考) ,详情",2000年建/板楼,商品房,"市北,同安路",2室1厅1厨1卫,浮山后六小区,其他,中楼层 (共7层),板楼,一梯两户
满五年,集中供暖,35043,70年,2017-06-06,南 北,2011-02-21,普通住宅,93.03平米,有,钢混结构,暂无数据,326,"首付98万 ,税费,13.8,万(仅供参考) ,详情",2008年建/板塔结合,商品房,"崂山,颐中体育场",2室2厅1厨1卫,海尔东城国际北区,精装,低楼层 (共22层),板塔结合,两梯三户
满五年,集中供暖,14007,50年,2017-10-08,东 西,2000-07-10,普通住宅,66.4平米,暂无数据,砖混结构,66.4㎡,93,"首付28万 ,税费,13.8,万(仅供参考) ,详情",2002年建/板楼,商品房,"黄岛,保税区",2室1厅1厨1卫,车家岭小区,精装,中楼层 (共6层),板楼,一梯三户
满五年,集中供暖,25333,50年,2017-05-07,南,2002-09-15,普通住宅,73.03平米,暂无数据,砖混结构,64㎡,185,"首付56万 ,税费,13.8,万(仅供参考) ,详情",2000年建/板楼,商品房,"市北,福安",2室1厅1厨1卫,芙蓉花园,简装,低楼层 (共6层),板楼,一梯三户
满五年,集中供暖,39028,50年,2017-09-04,南 北,2009-11-13,普通住宅,135.8平米,暂无数据,砖混结构,124.55㎡,530,"首付159万 ,税费,13.8,万(仅供参考) ,详情",2001年建/板楼,商品房,"崂山,雕塑园",3室2厅1厨2卫,颐景园,精装,低楼层 (共6层),板楼,一梯两户
满五年,集中供暖,33966,70年,2017-10-14,南,2002-06-28,普通住宅,62.71平米,暂无数据,砖混结构,62.71㎡,213,"首付64万 ,税费,13.8,万(仅供参考) ,详情",1988年建/板楼,已购公房,"市南,湛山",2室1厅1厨1卫,晓望路,其他,高楼层 (共7层),板楼,一梯五户
满五年,集中供暖,29224,50年,2017-10-04,南 北,2010-11-25,普通住宅,111.21平米,有,钢混结构,87.06㎡,325,"首付98万 ,税费,13.8,万(仅供参考) ,详情",2009年建/板楼,商品房,"崂山,汽车东站",3室2厅1厨1卫,康城,精装,高楼层 (共23层),板楼,两梯两户
满五年,集中供暖,16643,50年,2017-10-18,南 北,2012-02-20,普通住宅,76.31平米,暂无数据,钢混结构,65.89㎡,127,"首付39万 ,税费,13.8,万(仅供参考) ,详情",2011年建/板楼,商品房,"黄岛,保税区",2室1厅1厨1卫,昆仑山庄南区（五台山路2056）,精装,中楼层 (共7层),板楼,一梯两户
满五年,集中供暖,8800,50年,2017-04-19,南 北,2011-04-13,普通住宅,170.46平米,暂无数据,钢混结构,154.16㎡,150,"首付45万 ,税费,13.8,万(仅供参考) ,详情",2005年建/板楼,商品房,"城阳,农业大学",4室2厅1厨2卫,康桥嘉苑,简装,高楼层 (共6层),板楼,一梯两户
